Verse,Meter,Stressed_Verse
circles and sails aloft on pinions majestic the vulture,dactyl,wswswswswswsswsw
he at length had become so tedious to men and to maidens,dactyl,wswswswswswswwsw
sought for their kith and their kin among the few acred farmers,dactyl,wswswwswswwswsw
slowly at length she returned to the tenantless house of her father,dactyl,swswswswwswswswsw
from the cold lakes of the north to sultry southern savannas,dactyl,wswswwswswsswsw
hung their ladder of ropes aloft like the ladder of jacob,dactyl,swsswswswwsswsw
here and there rise groves from the margins of swift running rivers,dactyl,wswswswswswswsw
not that day nor the next nor yet the day that succeeded,dactyl,wwswwswwswswsw
faded was she and old when in disappointment it ended,dactyl,swswswswswswsws
and from the moonlit meadow a sigh responded 'to morrow',dactyl,wswswswswswswsw
thus did evangeline wait at her father's door as the sunset,dactyl,wswswswswswswwsw
group after group appeared and joined or passed on the highway,dactyl,wswswswswswwsw
ended to recommence no more upon earth uncomplaining,dactyl,wswswswswswswsw
then a familiar voice she heard as it said to the people,dactyl,wswswswswswswsw
filled till it overflowed the pewter tankard with home brewed,dactyl,wswswswswswsws
flashed like the plane tree the persian adorned with mantles and jewels,dactyl,wswswswswswswsw
who had been summoned all to the house of basil the herdsman,dactyl,wswswswwswsswsw
that which the fountain sends forth returns again to the fountain,dactyl,wswswswsswswwsw
but made answer the reverend man and he smiled as he answered,dactyl,wswswsswswswswsw
he had become to her heart as one who is dead and not absent,dactyl,wswswwswswswswsw
keenly the lightning flashed and governed the voice of the echoing thunder,dactyl,wswswswswswswsswsw
blossomed the opening spring and the notes of the robin and bluebird,dactyl,sswswswswswwsswsw
thus as they sat there were footsteps heard and suddenly lifted,dactyl,wswswwswswsswsw
such as the traveller sees in regions remote by the roadside,dactyl,wswswswswswswwsw
lo o'er the city a tempest rose and the bolts of the thunder,dactyl,wswsswswswswswsw
waited the women they stood by the graves and hung on the headstones,dactyl,sswswswswswswwsw
veiled the light of his face like the prophet descending from sinai,dactyl,wswswswwswswswsw
by untimely rains or untimelier heat have been blighted,dactyl,wswswswswswswsw
covered with waifs of the tide with kelp and the slippery sea weed,dactyl,swswswswswwswsws
sweetly over the village the bell of the angelus sounded,dactyl,swsswswswswswsws
thousands of throbbing hearts where theirs are at rest and forever,dactyl,sswswswswswswsw
and on the oaken stairs resounded the tread of the farmer,dactyl,wswswswswswswsw
followed his flying steps and thought each day to o'ertake him,dactyl,sswswswswswsws
forth from the hands of the priest like seed from the hands of the sower,dactyl,wswswswswswswwsw
homeward serenely she walked with god's benediction upon her,dactyl,wswswswswswswsws
here and there rise smokes from the camps of these savage marauders,dactyl,wwswswwswwsswsw
charity meekness love and hope and forgiveness and patience,dactyl,sswswswswswswsw
bathed his shining feet with their tears and anointed his tresses,dactyl,swswswswswswsws
long live michael' they cried 'our brave acadian minstrel',dactyl,swsswswswsswsw
children's children rode on his knee and heard his great watch tick,dactyl,swswswswswswsw
sat the lovers and whispered together beholding the moon rise,dactyl,swsswsswsswswsws
and when the echoes had ceased like a sense of pain was the silence,dactyl,wswswswswswswwsw
naming the dower of the bride in flocks of sheep and in cattle,dactyl,swswswswswswwsw
so at the hoof beats of fate with sad forebodings of evil,dactyl,wswswswswswswsw
mute with wonder the shawnee sat and when she had ended,dactyl,wswswswswswwsw
suddenly out of the grass the long white horns of the cattle,dactyl,swswswswswswwsw
thither the women and children thronged on a sudden the church doors,dactyl,sswsswswswwswsws
might took the place of right and the weak were oppressed and the mighty,dactyl,wswswswswswswwsw
better than flocks and herds being proofs of her skill as a housewife,dactyl,swswswswswswswsw
men and women and children who guided by hope or by hearsay,dactyl,swswswswswswswsw
sailed on those gloomy and midnight streams blew a blast on his bugle,dactyl,wswswswswswswwsw
then uprose their commander and spake from the steps of the altar,dactyl,wswswswswswswwsw
four times the sun had risen and set and now on the fifth day,dactyl,wswswswswswswsw
this was the precious dower she would bring to her husband in marriage,dactyl,wswswswswswswsws
this is the forest primeval but where are the hearts that beneath it,dactyl,wswswswswswswswsw
once in an ancient city whose name i no longer remember,dactyl,wswswswswswswsws
strongly have built them and well and breaking the glebe round about them,dactyl,swswswswswswswsw
still stands the forest primeval but under the shade of its branches,dactyl,wswswswswswswswsw
basil was benedict's friend their children from earliest childhood,dactyl,sswswswswswswsw
pleasantly rose next morn the sun on the village of grand pr,dactyl,swswswswswswswss
vainly evangeline strove with words and caresses to cheer him,dactyl,wswswswswswswsws
turned on its pillow of pain to gaze while she passed for her presence,dactyl,wswswswswswswwsw
e'en as the face of a clock from which the hands have been taken,dactyl,swswswswswswswsw
then came the laborers home from the field and serenely the sun sank,dactyl,wswsswswswswswswsw
brings us again to our homes from the unknown land of our exile,dactyl,wswswwswswswswsw
soon with a soundless step the foot of evangeline followed,dactyl,wswswswswswswsw
bent like a laboring oar that toils in the surf of the ocean,dactyl,wswswswswswswwsw
shall we not then be glad and rejoice in the joy of our children',dactyl,wswwswswswswswsw
many familiar forms had disappeared in the night time,dactyl,sswswswswswsws
sounds of psalms that were sung by the swedes in their church at wicaco,dactyl,wswswswwswswswsw
freeze in fantastic shapes on the window panes in the winter,dactyl,wswswswwswswwsw
into the golden stream of the broad and swift mississippi,dactyl,wswswswswswswsw
then the good basil saidand his voice grew blithe as he said it,dactyl,wswswswswswswsw
and from its chimney top ascending and slowly expanding,dactyl,wswswswswswswsw
echoed a moment only and slowly the ponderous portal,dactyl,sswswswswswswsw
that through the pines o'er her father's lodge in the hush of the twilight,dactyl,wswswwswswswswsw
lay in the golden sun the lakes of the atchafalaya,dactyl,wswswswswwswsws
gayly the old man sang to the vibrant sound of his fiddle,dactyl,swswswswswswwsw
thus beginning their journey with morning and sunshine and gladness,dactyl,swswswswswswswsw
when on the falling tide the freighted vessels departed,dactyl,wswswswswsswsw
ever as faithful subjects a happy and peaceable people,dactyl,sswswswswswswsws
as at the tramp of a horse's hoof on the turf of the prairies,dactyl,wswswwswswswswsw
yet must i bow and obey and deliver the will of our monarch,dactyl,wswswswswswswswsw
day after day they glided adown the turbulent river,dactyl,wswswsswswswsws
over them wandered the buffalo herds and the elk and the roebuck,dactyl,swswswswswswswwsw
loud laugh their hearts with joy and weep with pain as they hear him',dactyl,wswswswswswsws
and the soul of the maiden between the stars and the fire flies,dactyl,wwswwsswswswwssw
brings from the shore of the sea to restore the sight of its fledglings,dactyl,wswswswswswswwsw
and the whole mass became a cloud a shade in the distance,dactyl,wswswswswswwsw
but without heeding his warmth continued the notary public,dactyl,swswswswsswsswsw
ah how often beneath this oak returning from labor,dactyl,wwswsswswswsww
thinking the day had dawned and anon the lowing of cattle,dactyl,swswswswswsswsw
beautiful is the land with its prairies and forests of fruit trees,dactyl,swswswswsswswsws
silent awhile were its treadles at rest was its diligent shuttle,dactyl,sswswwswswswsswsw
swiftly they followed the flight of him who was speeding before them,dactyl,wswswswswswswsws
seemed they to follow or guide the revel of frenzied bacchantes,dactyl,wswsswswswswswsw
bolder grew and pressed her hand in the dance as he whispered,dactyl,swswswswswswsw
dwelt in the love of god and of man alike were they free from,dactyl,wswswswwswswsws
gabriel far had entered with hunters and trappers behind him,dactyl,sswswswswswsswsw
presaged by wondrous signs and mostly by flocks of wild pigeons,dactyl,sswswswswswswsw
day with its burden and heat had departed and twilight descending,dactyl,wswswswswswswswsw
daily the tides of life go ebbing and flowing beside them,dactyl,sswswswsswsswsw
here no hungry winter congeals our blood like the rivers,dactyl,swswswswswswsw
brings these ships to our shores perhaps the harvests in england,dactyl,wswswswswswsws
then evangeline said and her voice was meek and submissive,dactyl,swswswswswswsws
now though warier grown without all guile or suspicion,dactyl,swswswswswswsw
while the monotonous drone of the wheel like the drone of a bagpipe,dactyl,wswswswswswswswsw
who have hearts as tender and true and spirits as loyal,dactyl,wwswswswwsswsw
while aloft on their shoulders the wooden and ponderous saddles,dactyl,swswswswsswswsw
and as its panting ceased and the sparks expired in the ashes,dactyl,wswswswwswswwsw
thinking ever of thee uncertain and sorrowful ever,dactyl,swswswswswsswsw
sea fogs pitched their tents and mists from the mighty atlantic,dactyl,wswswswswsswsw
leaped like the roe when he hears in the woodland the voice of the huntsman,dactyl,wswswswswswswswsw
is as the tossing buoy that betrays where the anchor is hidden,dactyl,wswswswswswswswsw
he is a voyageur in the lowlands of louisiana',dactyl,wswswswwswswswsw
as in the eastern sky the first faint streaks of the morning,dactyl,wswswswswswwsw
benedict bellefontaine the wealthiest farmer of grand pr,dactyl,swswwswswswswswss
into the sounding pails the foaming streamlets descended,dactyl,wswswswswswsws
then sat he down at her side and they wept together in silence,dactyl,wswswswswswsswsw
pausing and looking back to gaze once more on their dwellings,dactyl,wswswswswswwsw
all was ended now the hope and the fear and the sorrow,dactyl,wwswswswwswwsw
thus to the gaspereau's mouth moved on that mournful procession,dactyl,wswswswswswswsw
silently therefore he laid his hand on the head of the maiden,dactyl,sswswswswswswwsw
gone is gabriel gone' and concealing her face on his shoulder,dactyl,swswswswswswswsw
knelt at her father's side and wailed aloud in her terror,dactyl,wswswswswswwsw
so are wont to be changed the faces of those who are dying,dactyl,wwswwswsswwswsw
bleeding barefooted over the shards and thorns of existence,dactyl,swsswswswswswsw
meanwhile amid the gloom by the church evangeline lingered,dactyl,wswswswwswswsws
so that they saw not the boat where it lay concealed in the willows,dactyl,wswswswswswswwsw
stood like a man who fain would speak but findeth no language,dactyl,wswswswswswsws
then with modest demeanor made answer the notary public,dactyl,wwsswswswswsswsw
arms have been taken from us and warlike weapons of all kinds,dactyl,wswswswwswswsws
broke the silence and said 'if you came by the atchafalaya,dactyl,swswswswswwswsws
silent at times then singing familiar canadian boat songs,dactyl,sswswswswswswsws
nodded in bright array like hollyhocks heavy with blossoms,dactyl,sswswswswswswsw
sycamore grew by the door with a woodbine wreathing around it,dactyl,swswswswwswsswsw
let us repeat that prayer in the hour when the wicked assail us,dactyl,wswswswwswswsswsw
floated before her eyes and beckoned her on through the moonlight,dactyl,sswswswswswswsw
twinkling vapors arose and sky and water and forest,dactyl,wswsswswswswsws
paused in their play to kiss the hand he extended to bless them,dactyl,swswswswswswsws
then with a blush she added 'alas for my credulous fancy,dactyl,wswswsswswswswsw
dark no longer but all illumined with love and the pathway,dactyl,wswswswswswswsw
over their heads the towering and tenebrous boughs of the cypress,dactyl,sswswswswswswswsw
broader and ever broader it gleamed on the roofs of the village,dactyl,wswswswswswswwsw
on the banks of the tche are the towns of st maur and st martin,dactyl,wswswswswswswswsw
naked snow white feet on the gleaming floor of her chamber,dactyl,swswswwswswwsw
knew not which beat the louder his heart or the knocker of iron,dactyl,wswswswswswsswsw
moved on their way unperturbed by the wrongs and sorrows of mortals,dactyl,swswswswwswsswsw
tears then filled her eyes and eagerly running to meet him,dactyl,wswswswswswsws
and at the head of the board the great arm chair of the farmer,dactyl,wswswswswswswsw
lowly and meek in spirit and patiently suffering all things,dactyl,sswswsswsswswsws
she after form of trial condemned to die on the scaffold,dactyl,wswswsswswswwsw
cured by wearing a spider hung round one's neck in a nutshell',dactyl,swsswswswswswsw
sat a herdsman arrayed in gaiters and doublet of deerskin,dactyl,swsswswsswsswsw
for with this simple people who lived like brothers together,dactyl,wswswswswswswsw
here is baptiste leblanc the notary's son who has loved thee,dactyl,wswswswswswswsw
then at the door of evangeline's tent she sat and repeated,dactyl,wwswswswswswswsw
with the first dawn of the day came heaving and hurrying landward,dactyl,wswswwswswswswsw
wealth had no power to bribe nor beauty to charm the oppressor,dactyl,wswsswswswswswsw
came with its airy hand to point and beckon her forward,dactyl,wswswswswsswsw
swiftly they hurried away to the forge of basil the blacksmith,dactyl,swswswswwswsswsw
while they repeated his prayer and said 'o father forgive them',dactyl,wswswswswswswsw
and with the ebb of the tide the ships sailed out of the harbor,dactyl,wswswswswswswsw
sounded sweet upon wold and in wood yet gabriel came not,dactyl,swswswswswswsws
yet am i not of those who imagine some evil intention,dactyl,wswswwswswswswsw
meekly with reverent steps the sacred feet of her saviour,dactyl,wswsswswswswwsw
whir of wings in the drowsy air and the cooing of pigeons,dactyl,wswswswswswswsw
all her o'erburdened heart gave way and she wept and lamented,dactyl,wswswswswswswsw
sweeter than song of bird or hue or odor of blossom,dactyl,wswswswswsswsw
but with its sound there was mingled a voice that whispered 'despair not',dactyl,wswswswswswsswsw
prisoners now i declare you for such is his majesty's pleasure',dactyl,swswswswswswsswsw
unto ears like thine such words as these have no meaning',dactyl,swswswswwswsw
wandered back to their native land to die in its bosom,dactyl,swswwswswswwsw
fragments of song the old man sang and carols of christmas,dactyl,wswswswswsswsw
art thou so near unto me and yet i cannot behold thee,dactyl,wswwswswswsswsw
there in the tranquil evenings of summer when brightly the sunset,dactyl,wswswswswswswsws
saw the tents of the christians the tents of the jesuit mission,dactyl,wswswswswswsswsw
while from his pocket the notary drew his papers and ink horn,dactyl,wswsswsswswswsws
ruled with an iron rod then it chanced in a nobleman's palace,dactyl,wswswswswswsswsw
slowly over the tops of the ozark mountains the moon rose,dactyl,swswswswswswsws
from the bleak shores of the sea to the lands where the father of waters,dactyl,wswswwswswswsswsw
or has an angel passed and revealed the truth to my spirit',dactyl,wswswswswswswsw
started the sheeted smoke with flashes of flame intermingled,dactyl,wswswswswswswsw
that uprose from the river and spread itself over the landscape,dactyl,wswswswswswsswsw
and of the goblin that came in the night to water the horses,dactyl,wswswswswswswsws
glowed with the light of love as the skies and waters around her,dactyl,wswswswswswswsw
take in his leathern lap the hoof of the horse as a plaything,dactyl,wswswswswswswsw
of its aerial roof arose the chant of their vespers,dactyl,wwsswswswswwsw
moon climbs the crystal walls of heaven and o'er the horizon,dactyl,wswswswswswswsw
cheerily called the cock to the sleeping maids of the farmhouse,dactyl,swswswswwswswwsw
driving in ponderous wains their household goods to the sea shore,dactyl,sswswswswswsws
climbs down their dark ravines to dig for roots by the brook side,dactyl,wswswswswswsws
wives were torn from their husbands and mothers too late saw their children,dactyl,wswswswswwswswsw
silent a moment they gazed then bellowing rushed o'er the prairie,dactyl,sswsswswswswswsw
now in the noisy camps and the battle fields of the army,dactyl,wswswswwswswwsw
like to a gypsy camp or a leaguer after a battle,dactyl,wswswswwswswsws
gentle evangeline lived his child and the pride of the village,dactyl,wswswswswswswwsw
and too the foolish virgin who slept when the bridegroom was coming',dactyl,wswswswswswswsws
and every stroke of the oar now brought him nearer and nearer,dactyl,wswswswswswsswsw
down sank the great red sun and in golden glimmering vapors,dactyl,wswswswwswsswsw
soothed was her troubled soul and she peacefully slumbered till morning,dactyl,wswsswswswswswsw
nodding and mocking along the wall with gestures fantastic,dactyl,sswsswswswswsws
silence reigned in the streets from the church no angelus sounded,dactyl,swswswswswswsws
like the implacable soul of a chieftain slaughtered in battle,dactyl,wswswswswswswsws
but on the breath of the summer winds a rumor was wafted,dactyl,wswswwswswswsws
but when the service was done and the benediction had fallen,dactyl,wswswswswswswsws
was for a moment consoled all sounds were in harmony blended,dactyl,wswsswswswswswsw
and the great seal of the law was set like a sun on the margin,dactyl,wswswswswswswwsw
simple that chamber was with its curtains of white and its clothes press,dactyl,wswswswwswswswsw
now through rushing chutes among green islands where plumelike,dactyl,swswswswsswsw
not in word alone but in deed to love one another,dactyl,wwswswswswswsw
late with the rising moon returned the wains from the marshes,dactyl,wswswswswswwsw
thronged erelong was the church with men without in the churchyard,dactyl,swswswswswswwsw
this was the old man's favorite tale and he loved to repeat it,dactyl,wswswsswswswswsw
calmly and sadly she waited until the procession approached her,dactyl,swswswswswswsswsw
broke up all further speech away like children delighted,dactyl,wswswswswswsws
is it a foolish dream an idle and vague superstition,dactyl,wswswswswswswsw
made by the passing oars and resplendent in beauty the lotus,dactyl,wswsswswswswswsw
heard he that cry of pain and through the hush that succeeded,dactyl,wswswswwswswsw
hiding the sun and strewing the ground with thatch from the houseroofs,dactyl,sswswswswswswsw
and o'er their spirits there came a feeling of wonder and sadness,dactyl,wswsswswswswswsw
where her canadian husband a coureur des bois had been murdered,dactyl,wswsswswswswswwsw
looked on the happy valley but ne'er from their station descended,dactyl,wswswswswswsswsw
she would commence again her endless search and endeavor,dactyl,wswswswswswsws
tears came into his eyes and as slowly he lifted his eyelids,dactyl,wswswswwswswswsw
far renowned was he for his silver locks and his fiddle,dactyl,swswswwswswwsw
waving his bushy tail and urging forward the stragglers,dactyl,sswswswswswsws
shakes down the rattling rain in a crystal shower on the branches,dactyl,wswswswwswswswsw
multitudinous echoes awoke and died in the distance,dactyl,swswswswswswwsw
so fell the mists from her mind and she saw the world far below her,dactyl,wswswwswswswswsw
and she paused on her way to gather the fairest among them,dactyl,wwswwswsswsswsw
then there escaped from her lips a cry of such terrible anguish,dactyl,wswswswswswsswsw
here in the houseless wild to direct the traveller's journey,dactyl,wswsswswswsswsw
there stood the wheaten loaf and the honey fragrant with wild flowers,dactyl,wswswswwswswswsw
told me this same sad tale then arose and continued his journey',dactyl,wswswswswswsswsw
over them vast and high extended the cope of a cedar,dactyl,sswswswswswswsw
glowed like a living coal when the ashes are blown from the embers,dactyl,wswsswswswswswsw
while in their little hands they clasped some fragments of playthings,dactyl,wswswswswswsws
hapless heart like her own had loved and had been disappointed,dactyl,sswswswswswswsw
many a tedious year come give him thy hand and be happy,dactyl,sswswswswswswwsw
clothed in the beauty of love and youth as last she beheld him,dactyl,wswswswswswswsw
for it recalled the past the old acadian country,dactyl,wswswswswsswsw
nothing in truth can harm us whatever mischances may happen',dactyl,swswswswswswswsw
smote the statue of bronze and hurled in wrath from its left hand,dactyl,swswswswswswsw
here too numberless herds run wild and unclaimed in the prairies,dactyl,swswswswswswwsw
hushed by the scene he beholds and the awful presence of sorrow,dactyl,swswswswwswsswsw
hanging loose from their spars in a motionless calm in the tropics,dactyl,swswswswswswswsw
raised aloft on a column a brazen statue of justice,dactyl,swswwsswswsswsw
stand like harpers hoar with beards that rest on their bosoms,dactyl,swswswswswwsw
wiping the foam from his lip he solemnly bowed and departed,dactyl,swswswswswswswsw
near to the bank of the river o'ershadowed by oaks from whose branches,dactyl,wswswwswswswswwsw
full in his track of light like ships with shadowy canvas,dactyl,wswswswswsswsw
bursting with light seemed the smithy through every cranny and crevice,dactyl,swswswsswsswsswsw
and though their hearts were sad at times and their bodies were weary,dactyl,wswswswswwsswsw
much evangeline wept at the tale and to know that another,dactyl,swswswswswswswsw
suddenly down from his horse he sprang in amazement and forward,dactyl,swswswswswswswsw
and from our bursting barns they would feed their cattle and children',dactyl,wswswswwswsswsw
garlands of autumn leaves and evergreens fresh from the forest,dactyl,sswswswswswswsw
ye who believe in the beauty and strength of woman's devotion,dactyl,wswswswswswsswsw
which as the farmers believed would load their orchards with apples,dactyl,wswswswswswswsw
fell on an orphan girl who lived as a maid in the household,dactyl,wswswswswswswsw
lowing of cattle and peals of laughter were heard in the farm yard,dactyl,sswsswswswswswsw
warm by the forge within they watched the laboring bellows,dactyl,wswswswswsswsw
that like the indian maid she too was pursuing a phantom,dactyl,wswswswswswswsws
vanished the vision away but evangeline knelt by his bedside,dactyl,sswswswswswswswsw
knocked from his pipe the ashes and slowly extending his right hand,dactyl,wswswsswsswswsws
homeward basil returned and evangeline stayed at the mission,dactyl,swswswswswswswsw
under the orchard trees and down the path to the meadows,dactyl,wswswswswswwsw
but at the crooked laughed and called it a thief in the cornfield,dactyl,wswswswswswswsw
seemed to assume once more the forms of its earlier manhood,dactyl,wswswswswwswsw
voices of children at play the crowing of cocks in the farm yards,dactyl,swswswswswswswsw
life had long been astir in the village and clamorous labor,dactyl,wswswswwsswsswsw
knelt on the swarded floor and joined in the evening devotions,dactyl,wswswswswswswsw
few were his words of rebuke but deep in the hearts of his people,dactyl,wwswswswswswswsw
lighted the village street with mysterious splendor and roofed each,dactyl,sswsswswsswswsws
thither they turned their steeds and behind a spur of the mountains,dactyl,swswswswswswwsw
lay encamped for the night the houseless acadian farmers,dactyl,swswwswsswsswsw
oft in the barns they climbed to the populous nests on the rafters,dactyl,wswswswwswswswsw
thus on a sabbath morn through the streets deserted and silent,dactyl,wswswswswswswsw
and like the day of doom it seemed to her wavering senses,dactyl,wswswswswwsswsw
rose no smoke from the roofs and gleamed no lights from the windows,dactyl,wswswswswswwsw
smoothly the ploughshare runs through the soil as a keel through the water,dactyl,wswswswswswswwsw
he was beloved by all and most of all by the children,dactyl,wswswwswwswwsw
lo from his seat he had fallen and stretched abroad on the sea shore,dactyl,wswswwsswswswsws
quietly in the meadows and breathing the vapory freshness,dactyl,swswwswswswsswsw
weary and worn they alighted and learned from the garrulous landlord,dactyl,swswswswswswsswsw
many a glad good morrow and jocund laugh from the young folk,dactyl,sswswsswswswsws
fuller of fragrance than they and as heavy with shadows and nightdews,dactyl,sswswswswsswsswsw
and the retreating sun the sign of the scorpion enters,dactyl,wswswswswwswsw
as when the air is serene in sultry solstice of summer,dactyl,wwswswswswswsws
gabriel o my beloved' and died away into silence,dactyl,swswswswswswsws
but when the morning came arose and passed from the wigwam,dactyl,wswswswswswwsw
dragging adown the beach the rattling pebbles and leaving,dactyl,sswswswswsswsw
friend clasped friend in his arms and they who before were as strangers,dactyl,wswswswwswswwsw
after the sound of their oars on the tholes had died in the distance,dactyl,swswswswswswswsw
gave they vent to their hearts and renewed their friendly embraces,dactyl,swswswswswswsws
sometimes she lingered in towns till urged by the fever within her,dactyl,wswswswswswswsws
all day long between the shore and the ships did the boats ply,dactyl,swswswswswswsw
welcome' the farmer exclaimed as their footsteps paused on the threshold,dactyl,swswswswwswswwsw
at the helm sat a youth with countenance thoughtful and careworn,dactyl,wswswswswswswsw
then shall his sacred dust be piously laid in the church yard',dactyl,wswswswswswswsw
thatched were the roofs with dormer windows and gables projecting,dactyl,wswswswswswswsw
this is the house of the prince of peace and would you profane it,dactyl,wswswswswswswsw
hailing his slow approach with words of affectionate welcome,dactyl,sswswswswswswsw
like a flute in the woods and anon through the neighboring thickets,dactyl,wwswswswswwsswsw
tedious even to me that at length i bethought me and sent him,dactyl,wswswswswswswswsw
father felician advanced with evangeline greeting the old man,dactyl,sswswswswswswswsw
let us go to the mission for there good tidings await us',dactyl,wswswsswswsswsw
kissed his dying lips and laid his head on her bosom,dactyl,swswswswswwsw
take from the shelf overhead thy pipe and the box of tobacco,dactyl,swswswswswswswsw
slowly lifting the horn that hung at his side and expanding,dactyl,swswswswswswsws
hearing the homelike sounds of his mother tongue in the forest,dactyl,sswswswwswswwsw
dark and neglected locks overshadowed his brow and a sadness,dactyl,wswswswwswswswsw
all undisturbed by the dash of their oars and unseen were the sleepers,dactyl,wswswwswswswswwsw
and of the white ltiche the ghost of a child who unchristened,dactyl,wswswswswswswsw
and of the marvellous powers of four leaved clover and horseshoes,dactyl,wswsswsswswsswsw
meeting in exile became straightway as friends to each other,dactyl,wswswswswswswsw
spreading afar and unfenced o'er the plain and away to the northward,dactyl,swswswswswswswwsw
all were subdued and low as the murmurs of love and the great sun,dactyl,wswswswwswswswsw
fair was she to behold that maiden of seventeen summers,dactyl,wswswswsswswsw
wandered alone and she cried 'o gabriel o my beloved,dactyl,wswswwswswswsws
columns of shining smoke uprose and flashes of flame were,dactyl,sswsswsswsswsw
entered with serious mien and ascended the steps of the altar,dactyl,wswswswswswswswsw
then with a smile of content thus answered basil the blacksmith,dactyl,wwswswswswsswsw
echoed back by the barns anon they sank into stillness,dactyl,swswwswswswsws
but not a voice replied no answer came from the darkness,dactyl,wswswswswswwsw
unto their eyes it seemed the lamps of the city celestial,dactyl,swswswswswsswsw
and nevermore returned nor was seen again by her people,dactyl,wswswswwswswwsw
mounting his mexican steed with his indian guides and companions,dactyl,wswswswswswswswsw
staining the desert with blood and above their terrible war trails,dactyl,sswswswswswswsws
all his domains and his herds and his patriarchal demeanor,dactyl,wswswswswswswsws
bright was her face with smiles and words of welcome and gladness,dactyl,wswswswswswsws
saw he the forms of the priest and the maiden advancing to meet him,dactyl,wswswswswsswswsws
then through those realms of shade in multiplied reverberations,dactyl,wswswswswswswsw
far to the north he has gone' continued the priest 'but in autumn,dactyl,wswswwswswswswsw
far in the western prairies or forests that skirt the nebraska,dactyl,wswswsswswswswsw
over the watery floor and beneath the reverberant branches,dactyl,sswswswswswswswsw
mixed with the whoop of the crane and the roar of the grim alligator,dactyl,wswswswswswswswsw
if it enrich not the heart of another its waters returning,dactyl,wswswswswswswswsw
bucket fastened with iron and near it a trough for the horses,dactyl,swsswswswswswwsw
told her that god was in heaven and governed the world he created,dactyl,wswswwsswswswswsw
then from his station aloft at the head of the table the herdsman,dactyl,wswsswswswswsswsw
passed o'er her soul as the sailing shade of clouds in the moonlight,dactyl,wswswwswswswwsw
spake he as after the tocsin's alarum distinctly the clock strikes,dactyl,wswswswswsswswsws
then with a pleasant smile made answer the jovial farmer,dactyl,wswswswswswswsw
like the great chords of a harp in loud and solemn vibrations,dactyl,wswswwswswsswsw
list to the mournful tradition still sung by the pines of the forest,dactyl,wswswswswswswswsw
gladdened the earth with its light and ripened thought into action,dactyl,swswswswsswswsw
scattered like dust and leaves when the mighty blasts of october,dactyl,swswswswsswswsw
filling the air with fragrance the house itself was of timbers,dactyl,sswswsswswswwsw
so that the guests all started and father felician astounded,dactyl,wswswswswswsswsw
fled away from the shore and left the line of the sand beach,dactyl,swswswswswswsw
he was with basil the blacksmith and both have gone to the prairies,dactyl,wswsswswswswswsw
thus many years she lived as a sister of mercy frequenting,dactyl,wswswswwsswswsws
sprinkles the congregation and scatters blessings upon them,dactyl,wswswsswswsswsw
built of the drift wood thrown on the sands from wrecks in the tempest,dactyl,wswswswswswswsw
and how on christmas eve the oxen talked in the stable,dactyl,wswswswswswwsw
darted a light swift boat that sped away o'er the water,dactyl,wswswswswswwsw
then in a swoon she sank and lay with her head on his bosom,dactyl,wswswswswswswsw
while his huge brown hand came thundering down on the table,dactyl,wwswswswswwsw
seemed to be sinking down through infinite depths in the darkness,dactyl,wswswswswswswsw
handed down from mother to child through long generations,dactyl,swswswswswswsw
daily injustice is done and might is the right of the strongest',dactyl,sswswswswswswwsw
when his neighbors complained that any injustice was done them,dactyl,wwsswswsswsswsw
on the morrow to meet in the church where his majesty's mandate,dactyl,wwsswswwswwsswsw
you are convened this day' he said 'by his majesty's orders,dactyl,wswswswswwsswsw
peasant's cottage with golden thatch and emblazoned its windows,dactyl,swswswswswsswsw
hunting for furs in the forests on rivers trapping the beaver,dactyl,swswswswswwsswsw
ren leblanc will be here anon with his papers and ink horn,dactyl,wswswswswwswsws
but without bell or book they buried the farmer of grand pr,dactyl,wswswswsswswswss
cheerily neighed the steeds with dew on their manes and their fetlocks,dactyl,swswswswswswswsw
drawn by the gentle bond of a common country together,dactyl,wswswswwswswsws
not with their lips alone but their hearts and the ave maria,dactyl,wswswswswswswswsw
many surmises of evil alarm the hearts of the people',dactyl,sswswswswswswwsw
but evangeline's heart was sustained by a vision that faintly,dactyl,swswswswswwsswsw
that the angel of death might see the sign and pass over,dactyl,wwswswswswswsw
dreamlike with beaming eyes and the rush of fluttering garments,dactyl,wswswswwswsswsw
neither locks had they to their doors nor bars to their windows,dactyl,swswswswswswsw
all was silent without and illuming the landscape with silver,dactyl,wwswswswswswswsw
faint was the air with the odorous breath of magnolia blossoms,dactyl,wswswwswswswswsw
out of the self same book with the hymns of the church and the plain song,dactyl,wswswswswswswsws
something says in my heart that near me gabriel wanders,dactyl,swswwswswsswsw
fall on this house and earth for this is the night of the contract,dactyl,wswswswswswswsw
large and low was the roof and on slender columns supported,dactyl,wswswswwswsswsw
as o'er the darkening fields with lingering steps they departed,dactyl,wswswswswswswsw
into the evening air a thin blue column of smoke rose,dactyl,wswswswswswsws
passions long extinguished and hopes long dead and abandoned,dactyl,swswswswswswsw
thus did the long sad years glide on and in seasons and places,dactyl,wswswswswswswsw
there good benedict sat and sturdy basil the blacksmith,dactyl,swswswsswsswsw
there too the dove cot stood with its meek and innocent inmates,dactyl,wswswswwswsswsw
softly the angelus sounded and over the roofs of the village,dactyl,wswswswswswswswsw
